R14;marouene test 22222;18;Ad Hoc;*;*;*;*;*;*;*;;Layout_Tabular_Portrait;Portrait;;CH F COMMERCIALE HUMIDITE ;T - A;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Administrateur
DR31;Suivi conformite Tc Mensuel LAB PhysicoChimique;14;Suivi conformite;Temperature;Temperature;M;Mensuel;#&#&D42;#&#&LAB_PhysicoChimique;CTC42;LAB_PhysicoChimique;Layout_Chart_Report;Paysage;Chart_14_Temperature_M_CTC42_V150;*;*;*;14_Temperature_-_M_CTC42;Suivi conformite Temperature Mensuel LAB PhysicoChimique;Developpeur
DR32;Suivi conformite Tc Annuel LAB PhysicoChimique;14;Suivi conformite;Temperature;Temperature;A;Annuel;#&#&D42;#&#&LAB_PhysicoChimique;CTC42;LAB_PhysicoChimique;Layout_Chart_Report;Paysage;Chart_14_Temperature_A_CTC42_V150;*;*;*;14_Temperature_-_A_CTC42;Suivi conformite Temperature Annuel LAB PhysicoChimique;Developpeur
DR33;Suivi conformite Tc Journalier Salle De Fermentation;14;Suivi conformite;Temperature;Temperature;J;Journalier;#&#&D5;#&#&Salle_De_Fermentation;CTC5;Salle_De_Fermentation;Layout_Chart_Report;Paysage;Chart_14_Temperature_J_CTC5_V150;*;*;*;14_Temperature_-_J_CTC5;Suivi conformite Temperature Journalier Salle De Fermentation;Developpeur
DR34;Suivi conformite Tc Hebdomadaire Salle De Fermentation;14;Suivi conformite;Temperature;Temperature;S;Hebdomadaire;#&#&D5;#&#&Salle_De_Fermentation;CTC5;Salle_De_Fermentation;Layout_Chart_Report;Paysage;Chart_14_Temperature_S_CTC5_V150;*;*;*;14_Temperature_-_S_CTC5;Suivi conformite Temperature Hebdomadaire Salle De Fermentation;Developpeur
DR35;Suivi conformite Tc Mensuel Salle De Fermentation;14;Suivi conformite;Temperature;Temperature;M;Mensuel;#&#&D5;#&#&Salle_De_Fermentation;CTC5;Salle_De_Fermentation;Layout_Chart_Report;Paysage;Chart_14_Temperature_M_CTC5_V150;*;*;*;14_Temperature_-_M_CTC5;Suivi conformite Temperature Mensuel Salle De Fermentation;Developpeur
DR36;Suivi conformite Tc Annuel Salle De Fermentation;14;Suivi conformite;Temperature;Temperature;A;Annuel;#&#&D5;#&#&Salle_De_Fermentation;CTC5;Salle_De_Fermentation;Layout_Chart_Report;Paysage;Chart_14_Temperature_A_CTC5_V150;*;*;*;14_Temperature_-_A_CTC5;Suivi conformite Temperature Annuel Salle De Fermentation;Developpeur
DR37;Suivi conformite HR Journalier CLC;14;Suivi conformite;Humidite;Humidite;J;Journalier;#&#&D1;#&#&CLC;CHCA;CLC;Layout_Chart_Report;Paysage;Chart_14_Humidite_J_CHCA_V150;*;*;*;14_Humidite_-_J_CHCA;Suivi conformite Humidite Journalier CLC;Developpeur
DR38;Suivi conformite HR Hebdomadaire CLC;14;Suivi conformite;Humidite;Humidite;S;Hebdomadaire;#&#&D1;#&#&CLC;CHCA;CLC;Layout_Chart_Report;Paysage;Chart_14_Humidite_S_CHCA_V150;*;*;*;14_Humidite_-_S_CHCA;Suivi conformite Humidite Hebdomadaire CLC;Developpeur
DR39;Suivi conformite HR Mensuel CLC;14;Suivi conformite;Humidite;Humidite;M;Mensuel;#&#&D1;#&#&CLC;CHCA;CLC;Layout_Chart_Report;Paysage;Chart_14_Humidite_M_CHCA_V150;*;*;*;14_Humidite_-_M_CHCA;Suivi conformite Humidite Mensuel CLC;Developpeur
DR40;Suivi conformite HR Annuel CLC;14;Suivi conformite;Humidite;Humidite;A;Annuel;#&#&D1;#&#&CLC;CHCA;CLC;Layout_Chart_Report;Paysage;Chart_14_Humidite_A_CHCA_V150;*;*;*;14_Humidite_-_A_CHCA;Suivi conformite Humidite Annuel CLC;Developpeur
DR41;Suivi conformite HR Journalier Production;14;Suivi conformite;Humidite;Humidite;J;Journalier;#&#&D2;#&#&Production;CHC1;Production;Layout_Chart_Report;Paysage;Chart_14_Humidite_J_CHC1_V150;*;*;*;14_Humidite_-_J_CHC1;Suivi conformite Humidite Journalier Production;Developpeur
DR42;Suivi conformite HR Hebdomadaire Production;14;Suivi conformite;Humidite;Humidite;S;Hebdomadaire;#&#&D2;#&#&Production;CHC1;Production;Layout_Chart_Report;Paysage;Chart_14_Humidite_S_CHC1_V150;*;*;*;14_Humidite_-_S_CHC1;Suivi conformite Humidite Hebdomadaire Production;Developpeur
DR43;Suivi conformite HR Mensuel Production;14;Suivi conformite;Humidite;Humidite;M;Mensuel;#&#&D2;#&#&Production;CHC1;Production;Layout_Chart_Report;Paysage;Chart_14_Humidite_M_CHC1_V150;*;*;*;14_Humidite_-_M_CHC1;Suivi conformite Humidite Mensuel Production;Developpeur
DR44;Suivi conformite HR Annuel Production;14;Suivi conformite;Humidite;Humidite;A;Annuel;#&#&D2;#&#&Production;CHC1;Production;Layout_Chart_Report;Paysage;Chart_14_Humidite_A_CHC1_V150;*;*;*;14_Humidite_-_A_CHC1;Suivi conformite Humidite Annuel Production;Developpeur
DR45;Suivi conformite HR Journalier Galdi;14;Suivi conformite;Humidite;Humidite;J;Journalier;#&#&D26;#&#&Galdi;CHC1F;Galdi;Layout_Chart_Report;Paysage;Chart_14_Humidite_J_CHC1F_V150;*;*;*;14_Humidite_-_J_CHC1F;Suivi conformite Humidite Journalier Galdi;Developpeur
DR46;Suivi conformite HR Hebdomadaire Galdi;14;Suivi conformite;Humidite;Humidite;S;Hebdomadaire;#&#&D26;#&#&Galdi;CHC1F;Galdi;Layout_Chart_Report;Paysage;Chart_14_Humidite_S_CHC1F_V150;*;*;*;14_Humidite_-_S_CHC1F;Suivi conformite Humidite Hebdomadaire Galdi;Developpeur
DR47;Suivi conformite HR Mensuel Galdi;14;Suivi conformite;Humidite;Humidite;M;Mensuel;#&#&D26;#&#&Galdi;CHC1F;Galdi;Layout_Chart_Report;Paysage;Chart_14_Humidite_M_CHC1F_V150;*;*;*;14_Humidite_-_M_CHC1F;Suivi conformite Humidite Mensuel Galdi;Developpeur
DR48;Suivi conformite HR Annuel Galdi;14;Suivi conformite;Humidite;Humidite;A;Annuel;#&#&D26;#&#&Galdi;CHC1F;Galdi;Layout_Chart_Report;Paysage;Chart_14_Humidite_A_CHC1F_V150;*;*;*;14_Humidite_-_A_CHC1F;Suivi conformite Humidite Annuel Galdi;Developpeur
DR49;Suivi conformite HR Journalier Beurrerie;14;Suivi conformite;Humidite;Humidite;J;Journalier;#&#&D27;#&#&Beurrerie;CHC1G;Beurrerie;Layout_Chart_Report;Paysage;Chart_14_Humidite_J_CHC1G_V150;*;*;*;14_Humidite_-_J_CHC1G;Suivi conformite Humidite Journalier Beurrerie;Developpeur
DR50;Suivi conformite HR Hebdomadaire Beurrerie;14;Suivi conformite;Humidite;Humidite;S;Hebdomadaire;#&#&D27;#&#&Beurrerie;CHC1G;Beurrerie;Layout_Chart_Report;Paysage;Chart_14_Humidite_S_CHC1G_V150;*;*;*;14_Humidite_-_S_CHC1G;Suivi conformite Humidite Hebdomadaire Beurrerie;Developpeur
DR51;Suivi conformite HR Mensuel Beurrerie;14;Suivi conformite;Humidite;Humidite;M;Mensuel;#&#&D27;#&#&Beurrerie;CHC1G;Beurrerie;Layout_Chart_Report;Paysage;Chart_14_Humidite_M_CHC1G_V150;*;*;*;14_Humidite_-_M_CHC1G;Suivi conformite Humidite Mensuel Beurrerie;Developpeur
DR52;Suivi conformite HR Annuel Beurrerie;14;Suivi conformite;Humidite;Humidite;A;Annuel;#&#&D27;#&#&Beurrerie;CHC1G;Beurrerie;Layout_Chart_Report;Paysage;Chart_14_Humidite_A_CHC1G_V150;*;*;*;14_Humidite_-_A_CHC1G;Suivi conformite Humidite Annuel Beurrerie;Developpeur
DR53;Suivi conformite HR Journalier CH F Commerciale;14;Suivi conformite;Humidite;Humidite;J;Journalier;#&#&D3;#&#&CH_F_Commerciale;CHC2;CH_F_Commerciale;Layout_Chart_Report;Paysage;Chart_14_Humidite_J_CHC2_V150;*;*;*;14_Humidite_-_J_CHC2;Suivi conformite Humidite Journalier CH F Commerciale;Developpeur
DR54;Suivi conformite HR Hebdomadaire CH F Commerciale;14;Suivi conformite;Humidite;Humidite;S;Hebdomadaire;#&#&D3;#&#&CH_F_Commerciale;CHC2;CH_F_Commerciale;Layout_Chart_Report;Paysage;Chart_14_Humidite_S_CHC2_V150;*;*;*;14_Humidite_-_S_CHC2;Suivi conformite Humidite Hebdomadaire CH F Commerciale;Developpeur
DR55;Suivi conformite HR Mensuel CH F Commerciale;14;Suivi conformite;Humidite;Humidite;M;Mensuel;#&#&D3;#&#&CH_F_Commerciale;CHC2;CH_F_Commerciale;Layout_Chart_Report;Paysage;Chart_14_Humidite_M_CHC2_V150;*;*;*;14_Humidite_-_M_CHC2;Suivi conformite Humidite Mensuel CH F Commerciale;Developpeur
DR56;Suivi conformite HR Annuel CH F Commerciale;14;Suivi conformite;Humidite;Humidite;A;Annuel;#&#&D3;#&#&CH_F_Commerciale;CHC2;CH_F_Commerciale;Layout_Chart_Report;Paysage;Chart_14_Humidite_A_CHC2_V150;*;*;*;14_Humidite_-_A_CHC2;Suivi conformite Humidite Annuel CH F Commerciale;Developpeur
