Code Compteur;Le Compteur;Energie;Compteur Parent;Le Compteur Parent;Compteur_Level;PC_Production;PC_Distribution;PC_Consommation;Point de Production;Point de Distribution;Point de Consommation;Description;type;parent energie;Ratio;Unite;Master;COMs (Gate:PortTCP:Sortie:Channel:Device);Parse Formule;User Formule;Date Modify;Date Load;Nbr Error;Detailles Nom;Nom Ratio;Access_Group;KPI
CHC1E;Process_Lait_Fermente;Humidite;CHC1;Production;3;D64;*;D25;T°c  positive;*;Process_Lait_Fermente;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC1F;Galdi;Humidite;CHC1;Production;2;*;*;D26;*;*;Galdi;F(CHC1F);Atelier;*;*;*;*;*;F~(~CHC1F~)~;F~(~Galdi~)~;;;0;;;;C1
CHC11;Galdi_A;Humidite;CHC1F;Galdi;3;D64;*;D261;T°c  positive;*;Galdi_A;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC12;Galdi_B;Humidite;CHC1F;Galdi;3;D64;*;D262;T°c  positive;*;Galdi_B;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC1G;Beurrerie;Humidite;CHC1;Production;2;*;*;D27;*;*;Beurrerie;F(CHC1G);Atelier;*;*;*;*;*;F~(~CHC1G~)~;F~(~Beurrerie~)~;;;0;;;;C1
CHC13;BER_Process;Humidite;CHC1G;Beurrerie;3;D64;*;D271;T°c  positive;*;BER_Process;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC14;BER_Cond;Humidite;CHC1G;Beurrerie;3;D64;*;D272;T°c  positive;*;BER_Cond;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC1H;CH_Chaud_P1;Humidite;CHC1;Production;3;D64;*;D28;T°c  positive;*;CH_Chaud_P1;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC1I;CH_Froid_P1;Humidite;CHC1;Production;3;D64;*;D2A;T°c  positive;*;CH_Froid_P1;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC1J;CH_Froid_P2;Humidite;CHC1;Production;3;D64;*;D2B;T°c  positive;*;CH_Froid_P2;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC2;CH_F_Commerciale;Humidite;CHCA;CLC;1;*;*;D3;*;*;CH_F_Commerciale;F(CHC2);Unite;*;*;*;*;*;F~(~CHC2~)~;F~(~CH_F_Commerciale~)~;;;0;;;;C1
CHC21;CH1_F_Commerciale_P1;Humidite;CHC2;CH_F_Commerciale;3;D64;*;D31;T°c  positive;*;CH1_F_Commerciale_P1;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC22;CH2_F_Commerciale_P2;Humidite;CHC2;CH_F_Commerciale;3;D64;*;D32;T°c  positive;*;CH2_F_Commerciale_P2;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC3;Matiere_Premiere_P1;Humidite;CHCA;CLC;3;D65;*;D6;T°c  negativre;*;Matiere_Premiere_P1;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC5;CH_CHAUD_LABO;Humidite;CHCA;CLC;3;D66;*;D7;T°c  chaude;*;CH_CHAUD_LABO;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
CHC4;Laboratoire;Humidite;CHCA;CLC;1;*;*;D4;*;*;Laboratoire;F(CHC4);Unite;*;*;*;*;*;F~(~CHC4~)~;F~(~Laboratoire~)~;;;0;;;;C1
CHC41;BAC_MICROBIO;Humidite;CHC4;Laboratoire;3;D64;*;D41B;T°c  positive;*;BAC_MICROBIO;Reel;Point de mesure;*;*;*;!~*;!~*;;;;;2;;;;C1
