Date;energie;Code;HR% LIVE;<HR%>;HR% min;HR% Max;C %;Inc;Time
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;11:07:33
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;11:07:34
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;11:07:34
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;11:07:34
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;11:07:34
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;11:07:34
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;11:07:34
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;11:07:35
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;11:07:36
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;11:07:36
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;11:07:36
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;13:29:14
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;13:29:14
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;13:29:14
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;13:29:14
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;13:29:14
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;13:29:14
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;13:29:14
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;13:29:14
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;13:29:15
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;13:29:15
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;13:29:15
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;13:30:09
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;13:30:09
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;13:30:09
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;13:30:09
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;13:30:09
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;13:30:09
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;13:30:09
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;13:30:09
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;13:30:09
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;13:30:09
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;13:30:09
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;14:20:10
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;14:20:10
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;14:20:10
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;14:20:10
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;14:20:10
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;14:20:10
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;14:20:10
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;14:20:10
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;14:20:10
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;14:20:10
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;14:20:10
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;14:20:37
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;14:20:37
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;14:20:37
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;14:20:37
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;14:20:37
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;14:20:38
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;14:20:38
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;14:20:38
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;14:20:38
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;14:20:38
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;14:20:38
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;14:20:49
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;14:20:49
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;14:20:49
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;14:20:49
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;14:20:49
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;14:20:49
