dd/MM/yyyy HH:mm:ss;LOG_OK,0
25/02/2021 12:53:24;OK
25/02/2021 12:54:24;OK
25/02/2021 12:55:24;OK
25/02/2021 12:56:24;OK
25/02/2021 12:57:24;OK
25/02/2021 12:58:24;OK
25/02/2021 12:59:24;OK
25/02/2021 13:00:24;OK
25/02/2021 13:01:24;OK
25/02/2021 13:02:24;OK
25/02/2021 13:03:24;OK
25/02/2021 13:04:24;OK
25/02/2021 13:05:24;OK
25/02/2021 13:06:24;OK
25/02/2021 13:07:24;OK
25/02/2021 13:08:24;OK
25/02/2021 13:09:24;OK
25/02/2021 13:10:24;OK
25/02/2021 13:11:24;OK
25/02/2021 13:12:24;OK
25/02/2021 13:13:24;OK
25/02/2021 13:14:24;OK
25/02/2021 13:15:24;OK
25/02/2021 13:16:24;OK
25/02/2021 13:17:24;OK
25/02/2021 13:18:24;OK
25/02/2021 13:19:24;OK
25/02/2021 13:20:24;OK
25/02/2021 13:21:24;OK
25/02/2021 13:22:24;OK
25/02/2021 13:23:24;OK
25/02/2021 13:24:24;OK
25/02/2021 13:25:24;OK
25/02/2021 13:26:24;OK
25/02/2021 13:27:24;OK
25/02/2021 13:28:24;OK
25/02/2021 13:29:24;OK
25/02/2021 13:30:24;OK
25/02/2021 13:31:24;OK
25/02/2021 13:32:24;OK
25/02/2021 13:33:24;OK
25/02/2021 13:34:24;OK
25/02/2021 13:35:24;OK
25/02/2021 13:36:24;OK
25/02/2021 13:37:24;OK
25/02/2021 13:38:24;OK
25/02/2021 13:39:24;OK
25/02/2021 13:40:24;OK
25/02/2021 13:41:24;OK
25/02/2021 13:42:24;OK
25/02/2021 13:43:24;OK
25/02/2021 13:44:24;OK
25/02/2021 13:45:24;OK
25/02/2021 13:46:24;OK
25/02/2021 13:47:24;OK
25/02/2021 13:48:24;OK
25/02/2021 13:49:24;OK
25/02/2021 13:50:24;OK
25/02/2021 13:51:24;OK
25/02/2021 13:52:24;OK
25/02/2021 13:53:24;OK
25/02/2021 13:54:24;OK
25/02/2021 13:55:24;OK
25/02/2021 13:56:24;OK
25/02/2021 13:57:24;OK
25/02/2021 13:58:24;OK
25/02/2021 13:59:24;OK
25/02/2021 14:00:24;OK
25/02/2021 14:01:24;OK
25/02/2021 14:02:24;OK
25/02/2021 14:03:24;OK
25/02/2021 14:04:24;OK
25/02/2021 14:05:24;OK
25/02/2021 14:06:24;OK
25/02/2021 14:07:24;OK
25/02/2021 14:08:24;OK
25/02/2021 14:09:24;OK
25/02/2021 14:10:24;OK
25/02/2021 14:11:24;OK
25/02/2021 14:12:24;OK
25/02/2021 14:13:24;OK
25/02/2021 14:14:24;OK
25/02/2021 14:15:24;OK
25/02/2021 14:16:24;OK
25/02/2021 14:17:24;OK
25/02/2021 14:18:24;OK
25/02/2021 14:19:24;OK
25/02/2021 14:20:24;OK
25/02/2021 14:21:24;OK
25/02/2021 14:22:24;OK
25/02/2021 14:23:24;OK
25/02/2021 14:24:24;OK
25/02/2021 14:25:24;OK
25/02/2021 14:26:24;OK
25/02/2021 14:27:24;OK
25/02/2021 14:28:24;OK
25/02/2021 14:29:24;OK
25/02/2021 14:30:24;OK
25/02/2021 14:31:24;OK
25/02/2021 14:32:24;OK
25/02/2021 14:33:24;OK
25/02/2021 14:34:24;OK
25/02/2021 14:35:24;OK
25/02/2021 14:36:24;OK
25/02/2021 14:37:24;OK
25/02/2021 14:38:24;OK
25/02/2021 14:39:24;OK
25/02/2021 14:40:24;OK
25/02/2021 14:41:24;OK
25/02/2021 14:42:24;OK
25/02/2021 14:43:24;OK
25/02/2021 14:44:24;OK
25/02/2021 14:45:24;OK
25/02/2021 14:46:24;OK
25/02/2021 14:47:24;OK
25/02/2021 14:48:24;OK
25/02/2021 14:49:24;OK
25/02/2021 14:50:24;OK
25/02/2021 14:51:24;OK
25/02/2021 14:52:24;OK
25/02/2021 14:53:24;OK
25/02/2021 14:54:24;OK
25/02/2021 14:55:24;OK
25/02/2021 14:56:24;OK
25/02/2021 14:57:24;OK
25/02/2021 14:58:24;OK
25/02/2021 14:59:24;OK
25/02/2021 15:00:24;OK
25/02/2021 15:01:24;OK
25/02/2021 15:02:24;OK
25/02/2021 15:03:24;OK
25/02/2021 15:04:24;OK
25/02/2021 15:05:24;OK
25/02/2021 15:06:24;OK
25/02/2021 15:07:24;OK
25/02/2021 15:08:24;OK
25/02/2021 15:09:24;OK
25/02/2021 15:10:24;OK
25/02/2021 15:11:24;OK
25/02/2021 15:12:24;OK
25/02/2021 15:13:24;OK
25/02/2021 15:14:24;OK
25/02/2021 15:15:24;OK
25/02/2021 15:16:24;OK
25/02/2021 15:17:24;OK
25/02/2021 15:18:24;OK
25/02/2021 15:19:24;OK
25/02/2021 15:20:24;OK
25/02/2021 15:21:24;OK
25/02/2021 15:22:24;OK
25/02/2021 15:23:24;OK
25/02/2021 15:24:24;OK
25/02/2021 15:25:24;OK
25/02/2021 15:26:24;OK
25/02/2021 15:27:24;OK
25/02/2021 15:28:24;OK
25/02/2021 15:29:24;OK
25/02/2021 15:30:24;OK
25/02/2021 15:31:24;OK
25/02/2021 15:32:24;OK
25/02/2021 15:33:24;OK
25/02/2021 15:34:24;OK
25/02/2021 15:35:24;OK
25/02/2021 15:36:24;OK
25/02/2021 15:37:24;OK
25/02/2021 15:38:24;OK
